Source_Component,Source_Pin,Source_Pin_Name,Net_Name,Destination_Component,Destination_Pin,Destination_Pin_Name,Signal_Type,Voltage_Domain,Differential_Pair_Name,Direction,Source_Document,Human_Review_Status,Notes
J2,19,PCIE_TX2_P,PCIE_RX2_P,J1,A25,PCIE_RX2_P,PCIE_GEN3_DIFF,PCIE_HS,PCIE_RX2,DEVICE_TO_HOST,PCI-SIG_CEM_3.0;M2_CONTROLLED_SPEC;NVIDIA_PUBLIC_REFERENCE_DESIGN;NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required;NVIDIA_SP-10900-001_v1.2_Table_2-13;Controlled_M2_Review_Required,Engineering_Assumption,Exact pin uses a public-source baseline; governing controlled specification or footprint cross-probe review remains open
J2,17,PCIE_TX2_N,PCIE_RX2_N,J1,A26,PCIE_RX2_N,PCIE_GEN3_DIFF,PCIE_HS,PCIE_RX2,DEVICE_TO_HOST,PCI-SIG_CEM_3.0;M2_CONTROLLED_SPEC;NVIDIA_PUBLIC_REFERENCE_DESIGN;NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required;NVIDIA_SP-10900-001_v1.2_Table_2-13;Controlled_M2_Review_Required,Engineering_Assumption,Exact pin uses a public-source baseline; governing controlled specification or footprint cross-probe review remains open
J1,B27,PCIE_TX3_P,PCIE_TX3_P,J2,13,PCIE_RX3_P,PCIE_GEN3_DIFF,PCIE_HS,PCIE_TX3,HOST_TO_DEVICE,PCI-SIG_CEM_3.0;M2_CONTROLLED_SPEC;NVIDIA_PUBLIC_REFERENCE_DESIGN;NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required;NVIDIA_SP-10900-001_v1.2_Table_2-13;Controlled_M2_Review_Required,Engineering_Assumption,Exact pin uses a public-source baseline; governing controlled specification or footprint cross-probe review remains open
J1,B28,PCIE_TX3_N,PCIE_TX3_N,J2,11,PCIE_RX3_N,PCIE_GEN3_DIFF,PCIE_HS,PCIE_TX3,HOST_TO_DEVICE,PCI-SIG_CEM_3.0;M2_CONTROLLED_SPEC;NVIDIA_PUBLIC_REFERENCE_DESIGN;NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required;NVIDIA_SP-10900-001_v1.2_Table_2-13;Controlled_M2_Review_Required,Engineering_Assumption,Exact pin uses a public-source baseline; governing controlled specification or footprint cross-probe review remains open
J2,7,PCIE_TX3_P,PCIE_RX3_P,J1,A29,PCIE_RX3_P,PCIE_GEN3_DIFF,PCIE_HS,PCIE_RX3,DEVICE_TO_HOST,PCI-SIG_CEM_3.0;M2_CONTROLLED_SPEC;NVIDIA_PUBLIC_REFERENCE_DESIGN;NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required;NVIDIA_SP-10900-001_v1.2_Table_2-13;Controlled_M2_Review_Required,Engineering_Assumption,Exact pin uses a public-source baseline; governing controlled specification or footprint cross-probe review remains open
J2,5,PCIE_TX3_N,PCIE_RX3_N,J1,A30,PCIE_RX3_N,PCIE_GEN3_DIFF,PCIE_HS,PCIE_RX3,DEVICE_TO_HOST,PCI-SIG_CEM_3.0;M2_CONTROLLED_SPEC;NVIDIA_PUBLIC_REFERENCE_DESIGN;NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required;NVIDIA_SP-10900-001_v1.2_Table_2-13;Controlled_M2_Review_Required,Engineering_Assumption,Exact pin uses a public-source baseline; governing controlled specification or footprint cross-probe review remains open
J1,A13,PCIE_REFCLK_P,PCIE_REFCLK_P,J2,55,PCIE_REFCLK_P,PCIE_REFCLK_DIFF,PCIE_CLOCK,PCIE_REFCLK,HOST_TO_DEVICE,PCI-SIG_CEM_3.0;M2_CONTROLLED_SPEC;NVIDIA_PUBLIC_REFERENCE_DESIGN;NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required;NVIDIA_SP-10900-001_v1.2_Table_2-13;Controlled_M2_Review_Required,Engineering_Assumption,Exact pin uses a public-source baseline; governing controlled specification or footprint cross-probe review remains open
J1,A14,PCIE_REFCLK_N,PCIE_REFCLK_N,J2,53,PCIE_REFCLK_N,PCIE_REFCLK_DIFF,PCIE_CLOCK,PCIE_REFCLK,HOST_TO_DEVICE,PCI-SIG_CEM_3.0;M2_CONTROLLED_SPEC;NVIDIA_PUBLIC_REFERENCE_DESIGN;NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required;NVIDIA_SP-10900-001_v1.2_Table_2-13;Controlled_M2_Review_Required,Engineering_Assumption,Exact pin uses a public-source baseline; governing controlled specification or footprint cross-probe review remains open
J1,A11,PERST_N,PCIE_PERST_N,J2,50,PERST_N,PCIE_SIDEBAND,PCIE_SIDEBAND,,HOST_TO_DEVICE,PCI-SIG_CEM_3.0;M2_CONTROLLED_SPEC;NVIDIA_PUBLIC_REFERENCE_DESIGN;NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required;NVIDIA_SP-10900-001_v1.2_Table_2-13;Controlled_M2_Review_Required,Engineering_Assumption,Exact pin uses a public-source baseline; governing controlled specification or footprint cross-probe review remains open
J2,52,CLKREQ_N,PCIE_CLKREQ_N,J1,B12,CLKREQ_N,PCIE_SIDEBAND_OPEN_DRAIN,PCIE_SIDEBAND,,DEVICE_TO_HOST,PCI-SIG_CEM_3.0;M2_CONTROLLED_SPEC;NVIDIA_PUBLIC_REFERENCE_DESIGN;NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required;NVIDIA_SP-10900-001_v1.2_Table_2-13;Controlled_M2_Review_Required,Engineering_Assumption,Exact pin uses a public-source baseline; governing controlled specification or footprint cross-probe review remains open
J2,54,PEWAKE_N,PCIE_PEWAKE_N,J1,B11,PEWAKE_N,PCIE_SIDEBAND_OPEN_DRAIN,PCIE_SIDEBAND,,DEVICE_TO_HOST,PCI-SIG_CEM_3.0;M2_CONTROLLED_SPEC;NVIDIA_PUBLIC_REFERENCE_DESIGN;NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required;NVIDIA_SP-10900-001_v1.2_Table_2-13;Controlled_M2_Review_Required,Engineering_Assumption,Exact pin uses a public-source baseline; governing controlled specification or footprint cross-probe review remains open
J1,A1,PRSNT_A,PCIE_PRSNT_N,J1,B31,PRSNT_B,PCIE_PRESENCE,PCIE_SIDEBAND,,PASSIVE,PCI-SIG_CEM_3.0;NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required,Engineering_Assumption,Exact pin uses a public-source baseline; governing controlled specification or footprint cross-probe review remains open
J1,A2,P12V_PIN_SET,P12V_SLOT,U1,5,IN,POWER,12V,,POWER,PCI-SIG_CEM_3.0;TI_TPS25947_REV_C;NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required,Engineering_Assumption,Exact pin uses a public-source baseline; governing controlled specification or footprint cross-probe review remains open
J1,A3,P12V_PIN_SET,P12V_SLOT,U1,5,IN,POWER,12V,,POWER,PCI-SIG_CEM_3.0;TI_TPS25947_REV_C;NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required,Engineering_Assumption,Exact pin uses a public-source baseline; governing controlled specification or footprint cross-probe review remains open
J1,B1,P12V_PIN_SET,P12V_SLOT,U1,5,IN,POWER,12V,,POWER,PCI-SIG_CEM_3.0;TI_TPS25947_REV_C;NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required,Engineering_Assumption,Exact pin uses a public-source baseline; governing controlled specification or footprint cross-probe review remains open
J1,B2,P12V_PIN_SET,P12V_SLOT,U1,5,IN,POWER,12V,,POWER,PCI-SIG_CEM_3.0;TI_TPS25947_REV_C;NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required,Engineering_Assumption,Exact pin uses a public-source baseline; governing controlled specification or footprint cross-probe review remains open
J1,B3,P12V_PIN_SET,P12V_SLOT,U1,5,IN,POWER,12V,,POWER,PCI-SIG_CEM_3.0;TI_TPS25947_REV_C;NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required,Engineering_Assumption,Exact pin uses a public-source baseline; governing controlled specification or footprint cross-probe review remains open
U1,6,OUT,P12V_PROTECTED,U2,8,VIN,POWER,12V,,POWER,TI_TPS25947_REV_C;TI_TPS543620_REV_C,Engineering_Assumption,U1 OUT and U2 VIN pin functions are official; this board-level connection is the selected architecture
U1,6,OUT,P12V_PROTECTED,U2,12,VIN,POWER,12V,,POWER,TI_TPS25947_REV_C;TI_TPS543620_REV_C,Engineering_Assumption,U1 OUT and U2 VIN pin functions are official; this board-level connection is the selected architecture
U2,10,SW,SW_3V3,L1,1,POWER_IN,SWITCH_NODE,12V_SWITCHING,,POWER,TI_TPS543620_REV_C,Engineering_Assumption,U2 SW pin function is official; L1 local footprint pin numbering still requires audit
U2,13,SW,SW_3V3,L1,1,POWER_IN,SWITCH_NODE,12V_SWITCHING,,POWER,TI_TPS543620_REV_C,Engineering_Assumption,U2 SW pin function is official; this board-level power-stage connection requires layout review
L1,2,POWER_OUT,P3V3_PRE_SENSE,RSH1,I1,FORCE_IN,POWER,3V3,,POWER,TI_TPS543620_REV_C;VISHAY_WSK2512_DATASHEET;VISHAY_WSK2512_30108_REV_2023-12-11,Engineering_Assumption,Exact pin uses a public-source baseline; governing controlled specification or footprint cross-probe review remains open
RSH1,I2,FORCE_OUT,P3V3_NVME,J2,2,P3V3_PIN_SET,POWER,3V3,,POWER,M2_CONTROLLED_SPEC;VISHAY_WSK2512_DATASHEET;NVIDIA_SP-10900-001_v1.2_Table_2-13;Controlled_M2_Review_Required;VISHAY_WSK2512_30108_REV_2023-12-11,Engineering_Assumption,Exact pin uses a public-source baseline; governing controlled specification or footprint cross-probe review remains open
RSH1,I2,FORCE_OUT,P3V3_NVME,J2,4,P3V3_PIN_SET,POWER,3V3,,POWER,M2_CONTROLLED_SPEC;VISHAY_WSK2512_DATASHEET;NVIDIA_SP-10900-001_v1.2_Table_2-13;Controlled_M2_Review_Required;VISHAY_WSK2512_30108_REV_2023-12-11,Engineering_Assumption,Exact pin uses a public-source baseline; governing controlled specification or footprint cross-probe review remains open
RSH1,I2,FORCE_OUT,P3V3_NVME,J2,12,P3V3_PIN_SET,POWER,3V3,,POWER,M2_CONTROLLED_SPEC;VISHAY_WSK2512_DATASHEET;NVIDIA_SP-10900-001_v1.2_Table_2-13;Controlled_M2_Review_Required;VISHAY_WSK2512_30108_REV_2023-12-11,Engineering_Assumption,Exact pin uses a public-source baseline; governing controlled specification or footprint cross-probe review remains open
RSH1,I2,FORCE_OUT,P3V3_NVME,J2,14,P3V3_PIN_SET,POWER,3V3,,POWER,M2_CONTROLLED_SPEC;VISHAY_WSK2512_DATASHEET;NVIDIA_SP-10900-001_v1.2_Table_2-13;Controlled_M2_Review_Required;VISHAY_WSK2512_30108_REV_2023-12-11,Engineering_Assumption,Exact pin uses a public-source baseline; governing controlled specification or footprint cross-probe review remains open
RSH1,I2,FORCE_OUT,P3V3_NVME,J2,16,P3V3_PIN_SET,POWER,3V3,,POWER,M2_CONTROLLED_SPEC;VISHAY_WSK2512_DATASHEET;NVIDIA_SP-10900-001_v1.2_Table_2-13;Controlled_M2_Review_Required;VISHAY_WSK2512_30108_REV_2023-12-11,Engineering_Assumption,Exact pin uses a public-source baseline; governing controlled specification or footprint cross-probe review remains open
RSH1,I2,FORCE_OUT,P3V3_NVME,J2,18,P3V3_PIN_SET,POWER,3V3,,POWER,M2_CONTROLLED_SPEC;VISHAY_WSK2512_DATASHEET;NVIDIA_SP-10900-001_v1.2_Table_2-13;Controlled_M2_Review_Required;VISHAY_WSK2512_30108_REV_2023-12-11,Engineering_Assumption,Exact pin uses a public-source baseline; governing controlled specification or footprint cross-probe review remains open
RSH1,I2,FORCE_OUT,P3V3_NVME,J2,70,P3V3_PIN_SET,POWER,3V3,,POWER,M2_CONTROLLED_SPEC;VISHAY_WSK2512_DATASHEET;NVIDIA_SP-10900-001_v1.2_Table_2-13;Controlled_M2_Review_Required;VISHAY_WSK2512_30108_REV_2023-12-11,Engineering_Assumption,Exact pin uses a public-source baseline; governing controlled specification or footprint cross-probe review remains open
RSH1,I2,FORCE_OUT,P3V3_NVME,J2,72,P3V3_PIN_SET,POWER,3V3,,POWER,M2_CONTROLLED_SPEC;VISHAY_WSK2512_DATASHEET;NVIDIA_SP-10900-001_v1.2_Table_2-13;Controlled_M2_Review_Required;VISHAY_WSK2512_30108_REV_2023-12-11,Engineering_Assumption,Exact pin uses a public-source baseline; governing controlled specification or footprint cross-probe review remains open
RSH1,I2,FORCE_OUT,P3V3_NVME,J2,74,P3V3_PIN_SET,POWER,3V3,,POWER,M2_CONTROLLED_SPEC;VISHAY_WSK2512_DATASHEET;NVIDIA_SP-10900-001_v1.2_Table_2-13;Controlled_M2_Review_Required;VISHAY_WSK2512_30108_REV_2023-12-11,Engineering_Assumption,Exact pin uses a public-source baseline; governing controlled specification or footprint cross-probe review remains open
RSH1,E1,SENSE_IN,SHUNT_SENSE_P,U3,10,IN_P,ANALOG_SENSE,3V3,,ANALOG,TI_INA238_REV_B;VISHAY_WSK2512_DATASHEET;VISHAY_WSK2512_30108_REV_2023-12-11,Engineering_Assumption,Exact pin uses a public-source baseline; governing controlled specification or footprint cross-probe review remains open
RSH1,E2,SENSE_OUT,SHUNT_SENSE_N,U3,9,IN_N,ANALOG_SENSE,3V3,,ANALOG,TI_INA238_REV_B;VISHAY_WSK2512_DATASHEET;VISHAY_WSK2512_30108_REV_2023-12-11,Engineering_Assumption,Exact pin uses a public-source baseline; governing controlled specification or footprint cross-probe review remains open
RSH1,I2,FORCE_OUT,P3V3_NVME,U3,8,VBUS,ANALOG_SENSE,3V3,,ANALOG,TI_INA238_REV_B;VISHAY_WSK2512_DATASHEET;VISHAY_WSK2512_30108_REV_2023-12-11,Engineering_Assumption,Exact pin uses a public-source baseline; governing controlled specification or footprint cross-probe review remains open
RSH1,I2,FORCE_OUT,P3V3_NVME,FB1,1,IN,POWER,3V3,,POWER,TELEMETRY_POWER_ARCHITECTURE;VISHAY_WSK2512_30108_REV_2023-12-11,Engineering_Assumption,Exact pin uses a public-source baseline; governing controlled specification or footprint cross-probe review remains open
FB1,2,OUT,P3V3_AUX,U3,6,VS,POWER,3V3,,POWER,TI_INA238_REV_B,Engineering_Assumption,Aux rail is telemetry-only and not PCIe 3V3aux
FB1,2,OUT,P3V3_AUX,U4,8,V_PLUS,POWER,3V3,,POWER,TI_TMP1075_REV_F,Engineering_Assumption,Aux rail is telemetry-only and not PCIe 3V3aux
U3,5,SCL,I2C_SCL,U4,2,SCL,I2C_OPEN_DRAIN,3V3,,BIDIRECTIONAL,TI_INA238_REV_B;TI_TMP1075_REV_F,Engineering_Assumption,U3 and U4 pin functions are official; sharing this project-defined bus requires address review
U4,2,SCL,I2C_SCL,J3,2,SCL,I2C_OPEN_DRAIN,3V3,,BIDIRECTIONAL,INTERFACE_DEFINITION,Engineering_Assumption,J3 logical pinout is project-defined
U3,4,SDA,I2C_SDA,U4,1,SDA,I2C_OPEN_DRAIN,3V3,,BIDIRECTIONAL,TI_INA238_REV_B;TI_TMP1075_REV_F,Engineering_Assumption,U3 and U4 pin functions are official; sharing this project-defined bus requires address review
U4,1,SDA,I2C_SDA,J3,3,SDA,I2C_OPEN_DRAIN,3V3,,BIDIRECTIONAL,INTERFACE_DEFINITION,Engineering_Assumption,J3 logical pinout is project-defined
U3,3,ALERT,INA_ALERT_N,TP7,1,TEST,OPEN_DRAIN_ALERT,3V3,,OUTPUT,TI_INA238_REV_B,Engineering_Assumption,U3 ALERT function is official; TP7 routing and pull-up are project-defined
U4,3,ALERT,TEMP_ALERT_N,TP8,1,TEST,OPEN_DRAIN_ALERT,3V3,,OUTPUT,TI_TMP1075_REV_F,Engineering_Assumption,U4 ALERT function is official; TP8 routing and pull-up are project-defined
U2,3,PGOOD,PGOOD_3V3,TP6,1,TEST,OPEN_DRAIN_POWER_GOOD,3V3,,OUTPUT,TI_TPS543620_REV_C,Engineering_Assumption,U2 PGOOD function is official; TP6 routing and P3V3_AUX pull-up are project-defined
FB1,2,OUT,P3V3_AUX,U5,7,VIN,POWER_SENSE,3V3,,POWER,ADI_ADP198_REV_G;INTERFACE_DEFINITION,Engineering_Assumption,U5 provides reverse-current blocking for the header sense path
FB1,2,OUT,P3V3_AUX,U5,8,VIN,POWER_SENSE,3V3,,POWER,ADI_ADP198_REV_G;INTERFACE_DEFINITION,Engineering_Assumption,Parallel VIN pin required by official package definition
FB1,2,OUT,P3V3_AUX,U5,6,EN,POWER_SENSE_ENABLE,3V3,,POWER,ADI_ADP198_REV_G;INTERFACE_DEFINITION,Engineering_Assumption,Always enabled when the internal telemetry rail is present
U5,1,VOUT,P3V3_SENSE_PROTECTED,RISO1,1,IN,POWER_SENSE,3V3,,OUTPUT,ADI_ADP198_REV_G;INTERFACE_DEFINITION,Engineering_Assumption,VOUT pins 1 and 2 are paralleled; RISO1 bounds accidental short current
U5,2,VOUT,P3V3_SENSE_PROTECTED,RISO1,1,IN,POWER_SENSE,3V3,,OUTPUT,ADI_ADP198_REV_G;INTERFACE_DEFINITION,Engineering_Assumption,VOUT pins 1 and 2 are paralleled per official package definition
RISO1,2,OUT,P3V3_SENSE_OUT,J3,4,3V3_SENSE,POWER_SENSE,3V3,,OUTPUT,ADI_ADP198_REV_G;INTERFACE_DEFINITION,Engineering_Assumption,External load must be high impedance; reverse-drive leakage and short current require bench verification
U5,3,GND,GND,U5,4,SEL1,GROUND_STRAP,GND,,PASSIVE,ADI_ADP198_REV_G;INTERFACE_DEFINITION,Engineering_Assumption,SEL code 00 is preliminary and must be reviewed before freeze
U5,3,GND,GND,U5,5,SEL0,GROUND_STRAP,GND,,PASSIVE,ADI_ADP198_REV_G;INTERFACE_DEFINITION,Engineering_Assumption,SEL code 00 is preliminary and must be reviewed before freeze
U5,3,GND,GND,U5,EP,GND,GROUND,GND,,PASSIVE,ADI_ADP198_REV_G,Confirmed_Official,Exposed pad ground connection required by official datasheet
J3,1,GND,GND,U3,7,GND,GROUND,GND,,PASSIVE,TI_INA238_REV_B;INTERFACE_DEFINITION,Engineering_Assumption,Shared solid ground; J3 pinout is project-defined
J3,1,GND,GND,U4,4,GND,GROUND,GND,,PASSIVE,TI_TMP1075_REV_F;INTERFACE_DEFINITION,Engineering_Assumption,Shared solid ground; J3 pinout is project-defined
J1,A2,P12V_PIN_SET,P12V_SLOT,TP1,1,TEST,POWER_TESTPOINT,12V,,POWER,PCI-SIG_CEM_3.0;INTERFACE_DEFINITION;NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required,Engineering_Assumption,Exact pin uses a public-source baseline; governing controlled specification or footprint cross-probe review remains open
J1,A3,P12V_PIN_SET,P12V_SLOT,TP1,1,TEST,POWER_TESTPOINT,12V,,POWER,PCI-SIG_CEM_3.0;INTERFACE_DEFINITION;NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required,Engineering_Assumption,Exact pin uses a public-source baseline; governing controlled specification or footprint cross-probe review remains open
J1,B1,P12V_PIN_SET,P12V_SLOT,TP1,1,TEST,POWER_TESTPOINT,12V,,POWER,PCI-SIG_CEM_3.0;INTERFACE_DEFINITION;NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required,Engineering_Assumption,Exact pin uses a public-source baseline; governing controlled specification or footprint cross-probe review remains open
J1,B2,P12V_PIN_SET,P12V_SLOT,TP1,1,TEST,POWER_TESTPOINT,12V,,POWER,PCI-SIG_CEM_3.0;INTERFACE_DEFINITION;NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required,Engineering_Assumption,Exact pin uses a public-source baseline; governing controlled specification or footprint cross-probe review remains open
J1,B3,P12V_PIN_SET,P12V_SLOT,TP1,1,TEST,POWER_TESTPOINT,12V,,POWER,PCI-SIG_CEM_3.0;INTERFACE_DEFINITION;NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required,Engineering_Assumption,Exact pin uses a public-source baseline; governing controlled specification or footprint cross-probe review remains open
U1,6,OUT,P12V_PROTECTED,TP2,1,TEST,POWER_TESTPOINT,12V,,POWER,TI_TPS25947_REV_C;INTERFACE_DEFINITION,Engineering_Assumption,U1 OUT function is official; TP2 mapping is project-defined
L1,2,POWER_OUT,P3V3_PRE_SENSE,TP3,1,TEST,POWER_TESTPOINT,3V3,,POWER,TI_TPS543620_REV_C;INTERFACE_DEFINITION,Pending_Human_Verification,L1 exact footprint pin audit remains pending
RSH1,I2,FORCE_OUT,P3V3_NVME,TP4,1,TEST,POWER_TESTPOINT,3V3,,POWER,VISHAY_WSK2512_DATASHEET;INTERFACE_DEFINITION;VISHAY_WSK2512_30108_REV_2023-12-11,Engineering_Assumption,Exact pin uses a public-source baseline; governing controlled specification or footprint cross-probe review remains open
FB1,2,OUT,P3V3_AUX,TP5,1,TEST,POWER_TESTPOINT,3V3,,POWER,INTERFACE_DEFINITION,Engineering_Assumption,TP5 provides dedicated telemetry-rail access
J3,1,GND,GND,TP9,1,TEST,GROUND_TESTPOINT,GND,,PASSIVE,INTERFACE_DEFINITION,Engineering_Assumption,TP9 is the designated probe ground
J1,A4,GND_PIN_SET,GND,J3,1,GND,GROUND,GND,,PASSIVE,PCI-SIG_CEM_3.0;INTERFACE_DEFINITION;NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required,Engineering_Assumption,Exact pin uses a public-source baseline; governing controlled specification or footprint cross-probe review remains open
J1,A12,GND_PIN_SET,GND,J3,1,GND,GROUND,GND,,PASSIVE,PCI-SIG_CEM_3.0;INTERFACE_DEFINITION;NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required,Engineering_Assumption,Exact pin uses a public-source baseline; governing controlled specification or footprint cross-probe review remains open
