Component,Symbol_Name,Pin_Number,Pin_Name,Pin_Type,Voltage_Domain,Source_Document,Human_Review_Status,Notes
J1,PCIE_EDGE_X4_REVA_PUB,B1,P12V,POWER_OUT,12V,NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; governing CEM review remains open
J1,PCIE_EDGE_X4_REVA_PUB,B2,P12V,POWER_OUT,12V,NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required,Engineering_Assumption,"Public NVIDIA secondary-source pin; governing CEM review remains open; NVIDIA table prints B1 twice, so B2 is an explicit correction assumption"
J1,PCIE_EDGE_X4_REVA_PUB,B3,P12V,POWER_OUT,12V,NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; governing CEM review remains open
J1,PCIE_EDGE_X4_REVA_PUB,B4,GND,POWER,GND,NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; governing CEM review remains open
J1,PCIE_EDGE_X4_REVA_PUB,B5,SMB_CLK_UNUSED,PASSIVE,UNDEFINED,NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; governing CEM review remains open
J1,PCIE_EDGE_X4_REVA_PUB,B6,SMB_DATA_UNUSED,PASSIVE,UNDEFINED,NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; governing CEM review remains open
J1,PCIE_EDGE_X4_REVA_PUB,B7,GND,POWER,GND,NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; governing CEM review remains open
J1,PCIE_EDGE_X4_REVA_PUB,B8,P3V3_SLOT_UNUSED,POWER_OUT,3V3,NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; governing CEM review remains open
J1,PCIE_EDGE_X4_REVA_PUB,B9,TRST_N_UNUSED,PASSIVE,UNDEFINED,NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; governing CEM review remains open
J1,PCIE_EDGE_X4_REVA_PUB,B10,P3V3_AUX_UNUSED,PASSIVE,UNDEFINED,NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; governing CEM review remains open
J1,PCIE_EDGE_X4_REVA_PUB,B11,PEWAKE_N,BIDIRECTIONAL,PCIE_SIDEBAND,NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; governing CEM review remains open
J1,PCIE_EDGE_X4_REVA_PUB,B12,CLKREQ_N,BIDIRECTIONAL,PCIE_SIDEBAND,NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; governing CEM review remains open
J1,PCIE_EDGE_X4_REVA_PUB,B13,GND,POWER,GND,NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; governing CEM review remains open
J1,PCIE_EDGE_X4_REVA_PUB,B14,PCIE_TX0_P,OUTPUT,PCIE_HS,NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; governing CEM review remains open
J1,PCIE_EDGE_X4_REVA_PUB,B15,PCIE_TX0_N,OUTPUT,PCIE_HS,NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; governing CEM review remains open
J1,PCIE_EDGE_X4_REVA_PUB,B16,GND,POWER,GND,NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; governing CEM review remains open
J1,PCIE_EDGE_X4_REVA_PUB,B17,PRSNT2_X1_UNUSED,PASSIVE,UNDEFINED,NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; governing CEM review remains open
J1,PCIE_EDGE_X4_REVA_PUB,B18,GND,POWER,GND,NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; governing CEM review remains open
J1,PCIE_EDGE_X4_REVA_PUB,B19,PCIE_TX1_P,OUTPUT,PCIE_HS,NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; governing CEM review remains open
J1,PCIE_EDGE_X4_REVA_PUB,B20,PCIE_TX1_N,OUTPUT,PCIE_HS,NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; governing CEM review remains open
J1,PCIE_EDGE_X4_REVA_PUB,B21,GND,POWER,GND,NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; governing CEM review remains open
J1,PCIE_EDGE_X4_REVA_PUB,B22,GND,POWER,GND,NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; governing CEM review remains open
J1,PCIE_EDGE_X4_REVA_PUB,B23,PCIE_TX2_P,OUTPUT,PCIE_HS,NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; governing CEM review remains open
J1,PCIE_EDGE_X4_REVA_PUB,B24,PCIE_TX2_N,OUTPUT,PCIE_HS,NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; governing CEM review remains open
J1,PCIE_EDGE_X4_REVA_PUB,B25,GND,POWER,GND,NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; governing CEM review remains open
J1,PCIE_EDGE_X4_REVA_PUB,B26,GND,POWER,GND,NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; governing CEM review remains open
J1,PCIE_EDGE_X4_REVA_PUB,B27,PCIE_TX3_P,OUTPUT,PCIE_HS,NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; governing CEM review remains open
J1,PCIE_EDGE_X4_REVA_PUB,B28,PCIE_TX3_N,OUTPUT,PCIE_HS,NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; governing CEM review remains open
J1,PCIE_EDGE_X4_REVA_PUB,B29,GND,POWER,GND,NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; governing CEM review remains open
J1,PCIE_EDGE_X4_REVA_PUB,B30,PWRBRK_UNUSED,PASSIVE,UNDEFINED,NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; governing CEM review remains open
J1,PCIE_EDGE_X4_REVA_PUB,B31,PRSNT_B,PASSIVE,UNDEFINED,NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; governing CEM review remains open
J1,PCIE_EDGE_X4_REVA_PUB,B32,GND,POWER,GND,NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; governing CEM review remains open
J2,M2_M_KEY_REVA_PUBLIC_BASELINE,1,GND,POWER,GND,NVIDIA_SP-10900-001_v1.2_Table_2-13;Controlled_M2_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; exact Amphenol contact geometry is official but governing M.2 logical review remains open
J2,M2_M_KEY_REVA_PUBLIC_BASELINE,2,P3V3_NVME,POWER_IN,3V3,NVIDIA_SP-10900-001_v1.2_Table_2-13;Controlled_M2_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; exact Amphenol contact geometry is official but governing M.2 logical review remains open
J2,M2_M_KEY_REVA_PUBLIC_BASELINE,3,GND,POWER,GND,NVIDIA_SP-10900-001_v1.2_Table_2-13;Controlled_M2_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; exact Amphenol contact geometry is official but governing M.2 logical review remains open
J2,M2_M_KEY_REVA_PUBLIC_BASELINE,4,P3V3_NVME,POWER_IN,3V3,NVIDIA_SP-10900-001_v1.2_Table_2-13;Controlled_M2_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; exact Amphenol contact geometry is official but governing M.2 logical review remains open
J2,M2_M_KEY_REVA_PUBLIC_BASELINE,5,PCIE_TX3_N,OUTPUT,PCIE_HS,NVIDIA_SP-10900-001_v1.2_Table_2-13;Controlled_M2_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; exact Amphenol contact geometry is official but governing M.2 logical review remains open
J2,M2_M_KEY_REVA_PUBLIC_BASELINE,6,NC_6,PASSIVE,UNDEFINED,NVIDIA_SP-10900-001_v1.2_Table_2-13;Controlled_M2_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; exact Amphenol contact geometry is official but governing M.2 logical review remains open
J2,M2_M_KEY_REVA_PUBLIC_BASELINE,7,PCIE_TX3_P,OUTPUT,PCIE_HS,NVIDIA_SP-10900-001_v1.2_Table_2-13;Controlled_M2_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; exact Amphenol contact geometry is official but governing M.2 logical review remains open
J2,M2_M_KEY_REVA_PUBLIC_BASELINE,8,NC_8,PASSIVE,UNDEFINED,NVIDIA_SP-10900-001_v1.2_Table_2-13;Controlled_M2_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; exact Amphenol contact geometry is official but governing M.2 logical review remains open
J2,M2_M_KEY_REVA_PUBLIC_BASELINE,9,GND,POWER,GND,NVIDIA_SP-10900-001_v1.2_Table_2-13;Controlled_M2_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; exact Amphenol contact geometry is official but governing M.2 logical review remains open
J2,M2_M_KEY_REVA_PUBLIC_BASELINE,10,NC_10,PASSIVE,UNDEFINED,NVIDIA_SP-10900-001_v1.2_Table_2-13;Controlled_M2_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; exact Amphenol contact geometry is official but governing M.2 logical review remains open
J2,M2_M_KEY_REVA_PUBLIC_BASELINE,11,PCIE_RX3_N,INPUT,PCIE_HS,NVIDIA_SP-10900-001_v1.2_Table_2-13;Controlled_M2_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; exact Amphenol contact geometry is official but governing M.2 logical review remains open
J2,M2_M_KEY_REVA_PUBLIC_BASELINE,12,P3V3_NVME,POWER_IN,3V3,NVIDIA_SP-10900-001_v1.2_Table_2-13;Controlled_M2_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; exact Amphenol contact geometry is official but governing M.2 logical review remains open
J2,M2_M_KEY_REVA_PUBLIC_BASELINE,13,PCIE_RX3_P,INPUT,PCIE_HS,NVIDIA_SP-10900-001_v1.2_Table_2-13;Controlled_M2_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; exact Amphenol contact geometry is official but governing M.2 logical review remains open
J2,M2_M_KEY_REVA_PUBLIC_BASELINE,14,P3V3_NVME,POWER_IN,3V3,NVIDIA_SP-10900-001_v1.2_Table_2-13;Controlled_M2_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; exact Amphenol contact geometry is official but governing M.2 logical review remains open
J2,M2_M_KEY_REVA_PUBLIC_BASELINE,15,GND,POWER,GND,NVIDIA_SP-10900-001_v1.2_Table_2-13;Controlled_M2_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; exact Amphenol contact geometry is official but governing M.2 logical review remains open
J2,M2_M_KEY_REVA_PUBLIC_BASELINE,16,P3V3_NVME,POWER_IN,3V3,NVIDIA_SP-10900-001_v1.2_Table_2-13;Controlled_M2_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; exact Amphenol contact geometry is official but governing M.2 logical review remains open
J2,M2_M_KEY_REVA_PUBLIC_BASELINE,17,PCIE_TX2_N,OUTPUT,PCIE_HS,NVIDIA_SP-10900-001_v1.2_Table_2-13;Controlled_M2_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; exact Amphenol contact geometry is official but governing M.2 logical review remains open
J2,M2_M_KEY_REVA_PUBLIC_BASELINE,18,P3V3_NVME,POWER_IN,3V3,NVIDIA_SP-10900-001_v1.2_Table_2-13;Controlled_M2_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; exact Amphenol contact geometry is official but governing M.2 logical review remains open
J2,M2_M_KEY_REVA_PUBLIC_BASELINE,19,PCIE_TX2_P,OUTPUT,PCIE_HS,NVIDIA_SP-10900-001_v1.2_Table_2-13;Controlled_M2_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; exact Amphenol contact geometry is official but governing M.2 logical review remains open
J2,M2_M_KEY_REVA_PUBLIC_BASELINE,20,NC_20,PASSIVE,UNDEFINED,NVIDIA_SP-10900-001_v1.2_Table_2-13;Controlled_M2_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; exact Amphenol contact geometry is official but governing M.2 logical review remains open
J2,M2_M_KEY_REVA_PUBLIC_BASELINE,21,GND,POWER,GND,NVIDIA_SP-10900-001_v1.2_Table_2-13;Controlled_M2_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; exact Amphenol contact geometry is official but governing M.2 logical review remains open
J2,M2_M_KEY_REVA_PUBLIC_BASELINE,22,NC_22,PASSIVE,UNDEFINED,NVIDIA_SP-10900-001_v1.2_Table_2-13;Controlled_M2_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; exact Amphenol contact geometry is official but governing M.2 logical review remains open
J2,M2_M_KEY_REVA_PUBLIC_BASELINE,23,PCIE_RX2_N,INPUT,PCIE_HS,NVIDIA_SP-10900-001_v1.2_Table_2-13;Controlled_M2_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; exact Amphenol contact geometry is official but governing M.2 logical review remains open
J2,M2_M_KEY_REVA_PUBLIC_BASELINE,24,NC_24,PASSIVE,UNDEFINED,NVIDIA_SP-10900-001_v1.2_Table_2-13;Controlled_M2_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; exact Amphenol contact geometry is official but governing M.2 logical review remains open
J2,M2_M_KEY_REVA_PUBLIC_BASELINE,25,PCIE_RX2_P,INPUT,PCIE_HS,NVIDIA_SP-10900-001_v1.2_Table_2-13;Controlled_M2_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; exact Amphenol contact geometry is official but governing M.2 logical review remains open
J2,M2_M_KEY_REVA_PUBLIC_BASELINE,26,NC_26,PASSIVE,UNDEFINED,NVIDIA_SP-10900-001_v1.2_Table_2-13;Controlled_M2_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; exact Amphenol contact geometry is official but governing M.2 logical review remains open
J2,M2_M_KEY_REVA_PUBLIC_BASELINE,27,GND,POWER,GND,NVIDIA_SP-10900-001_v1.2_Table_2-13;Controlled_M2_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; exact Amphenol contact geometry is official but governing M.2 logical review remains open
J2,M2_M_KEY_REVA_PUBLIC_BASELINE,28,NC_28,PASSIVE,UNDEFINED,NVIDIA_SP-10900-001_v1.2_Table_2-13;Controlled_M2_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; exact Amphenol contact geometry is official but governing M.2 logical review remains open
J2,M2_M_KEY_REVA_PUBLIC_BASELINE,29,PCIE_TX1_N,OUTPUT,PCIE_HS,NVIDIA_SP-10900-001_v1.2_Table_2-13;Controlled_M2_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; exact Amphenol contact geometry is official but governing M.2 logical review remains open
J2,M2_M_KEY_REVA_PUBLIC_BASELINE,30,NC_30,PASSIVE,UNDEFINED,NVIDIA_SP-10900-001_v1.2_Table_2-13;Controlled_M2_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; exact Amphenol contact geometry is official but governing M.2 logical review remains open
J2,M2_M_KEY_REVA_PUBLIC_BASELINE,31,PCIE_TX1_P,OUTPUT,PCIE_HS,NVIDIA_SP-10900-001_v1.2_Table_2-13;Controlled_M2_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; exact Amphenol contact geometry is official but governing M.2 logical review remains open
J2,M2_M_KEY_REVA_PUBLIC_BASELINE,32,NC_32,PASSIVE,UNDEFINED,NVIDIA_SP-10900-001_v1.2_Table_2-13;Controlled_M2_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; exact Amphenol contact geometry is official but governing M.2 logical review remains open
J2,M2_M_KEY_REVA_PUBLIC_BASELINE,33,GND,POWER,GND,NVIDIA_SP-10900-001_v1.2_Table_2-13;Controlled_M2_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; exact Amphenol contact geometry is official but governing M.2 logical review remains open
J2,M2_M_KEY_REVA_PUBLIC_BASELINE,34,NC_34,PASSIVE,UNDEFINED,NVIDIA_SP-10900-001_v1.2_Table_2-13;Controlled_M2_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; exact Amphenol contact geometry is official but governing M.2 logical review remains open
J2,M2_M_KEY_REVA_PUBLIC_BASELINE,35,PCIE_RX1_N,INPUT,PCIE_HS,NVIDIA_SP-10900-001_v1.2_Table_2-13;Controlled_M2_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; exact Amphenol contact geometry is official but governing M.2 logical review remains open
J2,M2_M_KEY_REVA_PUBLIC_BASELINE,36,NC_36,PASSIVE,UNDEFINED,NVIDIA_SP-10900-001_v1.2_Table_2-13;Controlled_M2_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; exact Amphenol contact geometry is official but governing M.2 logical review remains open
J2,M2_M_KEY_REVA_PUBLIC_BASELINE,37,PCIE_RX1_P,INPUT,PCIE_HS,NVIDIA_SP-10900-001_v1.2_Table_2-13;Controlled_M2_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; exact Amphenol contact geometry is official but governing M.2 logical review remains open
J2,M2_M_KEY_REVA_PUBLIC_BASELINE,38,NC_38,PASSIVE,UNDEFINED,NVIDIA_SP-10900-001_v1.2_Table_2-13;Controlled_M2_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; exact Amphenol contact geometry is official but governing M.2 logical review remains open
J2,M2_M_KEY_REVA_PUBLIC_BASELINE,39,GND,POWER,GND,NVIDIA_SP-10900-001_v1.2_Table_2-13;Controlled_M2_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; exact Amphenol contact geometry is official but governing M.2 logical review remains open
J2,M2_M_KEY_REVA_PUBLIC_BASELINE,40,SMB_CLK_UNUSED,BIDIRECTIONAL,UNCONNECTED,NVIDIA_SP-10900-001_v1.2_Table_2-13;Controlled_M2_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; exact Amphenol contact geometry is official but governing M.2 logical review remains open
